bug_id,class_under_test,java_version
nikoo28-java-solutions-8d81307ea165,leetcode.medium.OnlineStockSpan,11
revelc-formatter-maven-plugin-3e9843d2ab99,net.revelc.code.formatter.css.CssFormatter,8
salesforce-grammaticus-cdf67a1ad578,com.force.i18n.grammar.impl.GrammaticalTermMapImpl,8
semver4j-semver4j-10102b374298,org.semver4j.RangesList,11
semver4j-semver4j-beb7e5d466c7,org.semver4j.internal.range.processor.XRangeProcessor,11
semver4j-semver4j-de7dadc7ece6,org.semver4j.Semver,11
slub-urnlib-106be8d1b804,de.slub.urn.RQF_RFC8141,11
snowflakedb-snowflake-jdbc-002bc9bb528a,net.snowflake.client.jdbc.SnowflakeConnectString,11
snowflakedb-snowflake-jdbc-002bc9bb528a,net.snowflake.client.jdbc.SnowflakeDriver,8
snowflakedb-snowflake-jdbc-15a45aca6bcd,net.snowflake.client.jdbc.SnowflakeFileTransferAgent,8
snowflakedb-snowflake-jdbc-7444f58c2aef,net.snowflake.client.config.SFClientConfigParser,8
snowflakedb-snowflake-jdbc-f2c8eba73535,net.snowflake.client.jdbc.RestRequest,8
spring-projects-spring-guice-ce15b8e5802a,org.springframework.guice.module.SpringModule,8
vmzakharov-dataframe-ec-12af99192d24,io.github.vmzakharov.ecdataframe.dsl.value.StringValue,8
vmzakharov-dataframe-ec-e9eb4dbe0e70,io.github.vmzakharov.ecdataframe.dataframe.compare.ComparisonResult,8
w3c-epubcheck-0759a82ae407,com.adobe.epubcheck.opf.OPFChecker30,11
w3c-epubcheck-0759a82ae407,com.adobe.epubcheck.ops.OPSHandler30,8
w3c-epubcheck-49aacb238c3e,com.adobe.epubcheck.tool.EpubChecker,8
w3c-epubcheck-7804c78a53f2,org.w3c.epubcheck.core.references.ResourceReferencesChecker,8
wmixvideo-nfe-67518e14db7e,com.fincatto.documentofiscal.mdfe3.classes.nota.MDFInfoModalRodoviarioVeiculoReboque,11
